Artist,C,Position,Streams,Track Name,URL,Unnamed: 0,Unnamed: 0.1,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,type,valence
Olivia Rodrigo,CL,104,43655,favorite crime,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8,103,103,0.866,0.369,152667,0.272,0.0,9,0.147,-10.497,1,0.0364,172.929,4,audio_features,0.218
Justin Quiles,CL,105,43288,Ponte Pa' Mi,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR,104,104,0.0581,0.878,202373,0.713,0.0,5,0.0822,-4.566,0,0.0948,92.028,4,audio_features,0.615
J Balvin,CL,106,42562,LA CANCIÓN,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,105,105,0.152,0.754,242573,0.646,1.85e-05,7,0.108,-5.795,1,0.317,176.089,4,audio_features,0.429
Jay Wheeler,CL,107,42410,Dos Tragos,https://open.spotify.com/track/68vJWWz7KPU4JCsgAySVPZ,106,106,0.197,0.79,192840,0.578,0.00109,0,0.129,-4.943,0,0.0786,172.018,4,audio_features,0.78
Manuel Turizo,CL,108,42376,Cosas Malas,https://open.spotify.com/track/2MaYHbpwybBOm9CrDBfChl,107,107,0.119,0.773,228720,0.64,0.0,3,0.17,-4.777,0,0.207,170.067,4,audio_features,0.605
Kali Uchis,CL,109,42315,telepatía,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,108,108,0.112,0.653,160191,0.524,0.0,11,0.203,-9.016,0,0.0502,83.97,4,audio_features,0.553
Manuel Turizo,CL,110,41849,La Nota,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa,109,109,0.18,0.736,216107,0.632,0.0,11,0.349,-4.939,0,0.0648,92.03,4,audio_features,0.503
Sebastian Yatra,CL,111,41660,Chica Ideal,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61,110,110,0.0847,0.574,183240,0.891,0.0,0,0.16,-3.665,0,0.157,100.978,4,audio_features,0.707
Ricky Martin,CL,112,41632,Qué Rico Fuera,https://open.spotify.com/track/7Bd1mIvqRkIXTPAzw2wBmT,111,111,0.183,0.837,218275,0.893,3.43e-05,6,0.584,-2.85,0,0.249,117.013,4,audio_features,0.888
Harry Styles,CL,113,41105,Watermelon Sugar,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,112,112,0.122,0.548,174000,0.816,0.0,0,0.335,-4.209,1,0.0465,95.39,4,audio_features,0.557
